Drate,Denom
3.7,607
5.2,3303
7.9,290
4.1,790
3.8,1175
8.6,1073
1.2,553
6.8,700
2.4,844
8.4,677
1.9,3223
2.3,252
4.5,463
2.4,2070
2.6,226
3.5,537
5.1,352
7.1,169
3.4,411
7.6,884
11,1299
0.7,792
5.8,447
10.2,361
4.3,510
3.2,281
12.5,1301
11.5,391
2.3,6233
7,889
6.5,567
4.6,2996
15.6,396
12.6,467
9.6,239
3.8,1593
1.5,258
3.5,446
9.3,1225
6.5,274
5.9,688
9.3,268
9.2,627
7.5,331
3.4,463
4.9,426
4.8,3038
5.3,2508
10.5,3166
2.5,1426
12.2,2907
8.1,625
5.9,485
16.6,848
1.6,244
7.9,517
2.8,1145
9.5,3774
12.1,181
6.5,613
18.6,102
6.1,390
7,1100
12.5,798
8.2,1127
20.4,532
4.2,1268
14.2,372
5.8,308
1,194
15.2,144
10.3,5695
9.6,6186
3.1,384
0,119
4.1,829
2,300
13.5,3112
4.6,2194
11.2,374
4.9,877
11.1,818
4.4,1075
6.4,2650
4.7,16963
10.2,1842
3.2,215
0.7,1510
5.3,464
4.3,1035
7,271
14.8,1300
9.3,1813
6.5,276
1.9,51
3.8,2892
17.2,500
11.6,3689
12.3,597
10,339
3.8,131
7.5,998
16.1,1920
6.4,1441
18.2,527
3.5,139
13.1,1033
11.4,454
9.5,3054
17.9,156
22.1,1079
8.1,565
19.2,1247
7.3,936
11.7,469
11.8,372
7.2,840
19.2,375
6.4,2219
18.1,1338
7.4,4610
7.2,110
13.6,396
6.9,1000
5.6,695
6.8,1017
17,2604
11.4,412
6.4,1374
21.8,2963
7.1,8609
n/a,n/a
17.8,219
8.1,1159
6.9,3833
5.5,577
5.3,245
20.5,112
16.4,364
0.2,486
6.3,4602
10.8,624
9.1,1739
6.9,444
14.2,1551
6.2,3340
2.5,1558
13,367
5.6,8060
12.4,689
32,53
8.8,272
2.7,289
4.5,1202
6.6,992
9,3519
18.8,863
20,5316
18.3,1743
21,631
12.4,2854
8.4,3531
2.1,7851
7,3029
1.2,79
3.7,1435
14.9,268
23.3,394
9.2,3357
9.8,366
8.8,3310
6.4,6594
6.1,915
6.6,3878
4,395
18.5,3000
2.9,551
3.7,7515
2.9,826
6.1,9674
2.6,8035
1.1,865
11.4,5389
17.7,479
7.1,1608
6.9,635
7.5,2235
9.3,977
22.2,489
1.3,3577
12.2,1914
5.8,393
19.4,5249
3.1,5371
5.7,5112
5.4,1552
12.7,598
7.3,3839
2.7,829
2.8,173
6.4,647
2.9,906
12.3,105
4,246
5.7,278
9.6,1125
6.6,106
1.4,566
4.5,1149
6.6,165
3.6,471
1.8,2468
1.9,103
5.3,540
7.5,792
8.1,356
6,510
1.3,1186
2.4,1000
13.5,317
5.4,404
8.6,266
13.4,579
14.8,5476
3.5,198
7.2,1262
6,314
3.9,967
4,784
2.2,2946
7.4,670
3.8,936
12.4,1722
12.4,6345
5.5,5627
5.8,2453
3.6,332
6.3,173
3.7,6591
3.4,573
3.3,837
5.6,265
3.1,157
6.3,47
1.7,737
0.9,2712
1.8,915
10.2,478
2.3,5772
2.8,278
1.8,4445
18,300
21.7,2271
19.2,990
17,147
25.5,243
16.2,2043
11.5,2344
15.4,701
7.2,415
1,278
7.6,1113
21.5,395
6.5,3144
17.4,2155
11.8,496
4.7,3319
12.7,791
11.8,415
1.4,1741
26,261
15.7,891
17.5,485
23.3,718
4.7,626
19.5,786
2.3,904
21.9,391
17.3,300
2,1084
1.4,1964
10.2,690
15.7,349
17.2,1980
4.1,481
17.7,1579
1.8,588
2.5,8832
2.1,550
3.7,5962
19.4,559
2.3,2978
1.2,249
2.6,750
15.4,797
13.4,343
13,276
20.4,679
14.4,846
11.2,267
10.8,1349
17.2,389
10.5,3155
15.9,94
8.2,621
8.6,161
18,516
7.8,1082
8.8,742
17.1,801
8.5,7427
19,839
5.3,395
5.4,552
8.3,902
2.5,275
7,1643
2.3,894
6.5,844
14.2,1617
5.9,2416
3.9,710
11.1,152
5.7,957
0.9,317
7.4,646
2.1,2110
22.6,6503
2.4,665
4.5,547
4.6,43
6,165
3.4,287
2,594
1.7,5700
7,7480
11.5,3928
4.1,1742
4.1,813
4.3,2300
2.3,2468
1.6,2160
3.9,2987
3.9,2099
3.8,1656
3.7,2480
7.6,865
5.1,2791
12.5,438
9.7,143
7,399
16.7,257
4.9,2119
13.9,394
9.5,523
18.6,2257
4.8,1285
7.9,23686
7.9,23686
9.1,3101
7.7,2192
10.1,138
6.7,919
13.1,394
1.2,410
3.7,186
4.5,12478
6.5,2793
12.1,850
10.8,1102
7,568
5.7,315
2,8976
1.6,1186
5.9,185
5.1,154
8.2,898
3.3,771
7,425
9.8,917
5.7,1962
14.6,3722
20.1,1706
10.8,3473
15.2,690
6.4,1241
19.9,962
19.9,3197
20.5,840
19.3,1498
13.3,1134
14.2,3302
19.3,450
0,80
22,931
7.8,5811
18.9,1038
0,114
0,76
23.7,6835
0,41
2.5,39
22.6,2184
4.2,589
3.4,841
9.6,1375
17.1,1843
14,4531
5.7,52
3,33
0,17
13.9,2548
20.4,1071
12.7,893
10.5,104
5,479
20.8,792
32.5,1080
12.5,850
27.5,527
3.4,4572
6.9,2584
11.6,215
16.5,333
11.7,85
5.2,286
7.5,426
13.7,37249
14,1222
14.4,2117
19,1997
10.7,317
13.9,482
11.2,586
15.4,512
13.4,2290
8.1,185
17,5751
11,508
4.4,156
4.2,373
15.3,1787
20,30
16,12496
23.3,2382
2,298
4.6,86
8.8,507
22.6,905
11.7,1453
15,686
24.3,3587
17,193
6.1,570
4.6,596
14,1082
3.9,3068
16.4,346
21.9,3563
13.9,4647
17.4,229
22.3,2367
7.9,326
23.6,161
16.2,1723
12.4,826
19.6,1648
1,675
11.8,744
1.2,83
6.7,237
32,1090
3.5,4550
34.1,79
11.5,69
7.7,2878
11.3,1000
22.2,184
27.1,1062
16.6,848
1,194
0.5,842
0.6,827
16.7,185
0.8,373
17.8,185
20.7,159
15.5,522
13.8,1308
14.4,871
18.5,798
3.4,319
29.8,114
9.7,1319
12.5,286
18.4,347
7.9,23686
7.9,23686
7.9,23686
7.9,23686
4,50
0,45
21.2,283
5.3,556
12.9,5062
16.3,625
19.9,3710
19.4,560
11.2,1292
21.9,214
24.5,244
12.1,849
15.6,282
17.4,362
5.7,207
22.4,1026
24.8,1466
18.7,847
17.2,695
4.1,48
20.9,43
8.2,97
14.4,754
15.8,1487
18.8,2388
12.2,1988
19.4,359
10.2,704
12.3,203
19.3,937
17.5,199
26.6,1398
18.1,337
22.8,1694
13.5,59
17.9,145
16.9,248
23.3,90
6,648
16.4,85
12.2,466
9.4,562
11.2,464
20.4,854
18.4,445
19.3,1360
23.3,2317
21,989
9.3,43
14.2,49
25,44
7.8,89
28.1,32
8.9,56
19,742
21,133
16.6,198
15.2,46
18.4,1082
5.1,136
12.4,321
10.6,47
6.9,43
15.9,1929
12,100
20.9,2486
12.3,1698
14.2,330
14.1,1176
12.3,2542
8,791
10,30
15.9,345
23.9,1912
n/a,n/a
15.4,840
19.8,352
15.9,420
17.7,1079
15.3,345
21.9,675
21.2,363
10.8,138
19.5,848
18.6,4563
28.8,1493
14.5,1567
12.5,381
22.5,288
21.4,2200
3.2,152
1.7,56
4.8,267
4.9,81
2,97
2.5,197
3,163
3.5,112
4.7,21
2.6,378
2.5,80
3.1,191
7.2,317
4.2,118
3.8,8093
1.2,499
2.4,123
3,164
1.7,344
1.6,62
3.7,188
0,12
0,36
2.5,78
0,33
6.6,120
9.8,51
1.1,90
1.4,142
2.3,173
4.8,166
5.7,242
4.7,148
4.4,45
3,98
