OPEID - Price,OPEID - 300,Name,NetPrice,DefRate,Program Length,College Type,Defaults,Loans
332911,3329,Pennsylvania State University-Penn State Mont Alto,20183,5.1,8,1,983,19227
105500,1055,University of Alabama in Huntsville,14190,7.4,8,1,111,1491
3255300,32553,Florida Gulf Coast University,13842,5.5,8,1,138,2483
345100,3451,Coastal Carolina University,15208,4.6,8,1,139,2996
318400,3184,University of Oklahoma-Norman Campus,17966,4.6,8,1,259,5512
382200,3822,Shepherd University,9692,7.8,8,1,85,1082
218300,2183,Bridgewater State University,15737,5.3,8,1,147,2757
173700,1737,Northern Illinois University,19782,7.7,8,1,439,5669
108100,1081,Arizona State University-Tempe,13007,6.5,8,1,1210,18571
137200,1372,Western State Colorado University,15780,6,8,1,33,548
222100,2221,University of Massachusetts-Amherst,20093,3.1,8,1,188,5934
255100,2551,University of Nebraska at Kearney,15520,5,8,1,80,1599
285800,2858,Farmingdale State College,8687,4.9,8,1,59,1200
269600,2696,CUNY New York City College of Technology,7498,7.7,6,1,91,1167
236700,2367,Minnesota State University Moorhead,15294,4.2,8,1,86,2007
317900,3179,Southeastern Oklahoma State University,8482,11.2,8,1,102,907
361500,3615,Texas State University,12647,5.6,8,1,454,8060
110800,1108,University of Arkansas,15411,5.4,8,1,235,4279
229300,2293,Lake Superior State University,11030,6.1,8,1,42,685
728700,7287,Brazosport College,5510,11.4,6,1,10,87
159900,1599,Valdosta State University,14573,8.3,8,1,307,3684
105100,1051,The University of Alabama,20133,5.2,8,1,306,5814
204400,2044,Maine Maritime Academy,19225,2.4,8,1,6,242
233600,2336,Bemidji State University,14334,4.6,8,1,69,1489
500000,5000,Pierce College-Fort Steilacoom,6338,13.8,6,1,181,1308
347400,3474,University of South Dakota,16502,5.3,8,1,134,2508
332903,3329,Pennsylvania State University-Penn State Altoona,22383,5.1,8,1,983,19227
373500,3735,Virginia Commonwealth University,20544,3.7,8,1,246,6591
210300,2103,University of Maryland-College Park,15757,2.1,8,1,109,5054
284600,2846,State University of New York at New Paltz,14605,3.5,8,1,58,1612
1065200,10652,Pasco-Hernando State College,6229,10.7,6,1,136,1264
332912,3329,Pennsylvania State University-Penn State New Kensington,13521,5.1,8,1,983,19227
368800,3688,Johnson State College,14923,9.6,8,1,108,1125
310006,3100,Ohio University-Eastern Campus,9031,9.7,8,1,946,9731
142500,1425,Eastern Connecticut State University,17014,5.7,8,1,80,1383
196300,1963,Eastern Kentucky University,12255,11.2,8,1,518,4606
209100,2091,Salisbury University,17678,3.6,8,1,71,1954
253600,2536,The University of Montana,13894,10.2,8,1,388,3777
342300,3423,Citadel Military College of South Carolina,18465,2.4,8,1,21,844
284300,2843,SUNY Cortland,17422,2.7,8,1,54,1981
369800,3698,Vermont Technical College,19117,5.3,8,1,29,540
4142900,41429,Georgia Gwinnett College,12384,12.4,6,1,300,2401
389600,3896,University of Wisconsin-Milwaukee,14747,7,8,1,528,7480
248800,2488,Missouri Southern State University,9203,9.7,8,1,157,1617
283600,2836,SUNY at Binghamton,16540,1.8,8,1,51,2723
189000,1890,University of Northern Iowa,14831,3.9,8,1,120,3067
284400,2844,SUNY at Fredonia,16622,4.7,8,1,74,1546
391500,3915,University of Wisconsin-Stout,14038,4.3,8,1,100,2300
230200,2302,Northwestern Michigan College,8374,15.4,6,1,185,1195
262901,2629,Rutgers University-Camden,12894,3.6,8,1,503,13944
389900,3899,University of Wisconsin-Green Bay,12614,4.1,8,1,72,1742
298100,2981,Western Carolina University,13646,6,8,1,146,2408
394600,3946,University of the Virgin Islands,11545,13.1,8,1,52,394
197700,1977,Murray State University,10529,10.6,8,1,255,2391
131500,1315,University of California-Los Angeles,14236,1.8,8,1,125,6738
331600,3316,California University of Pennsylvania,17819,7,8,1,210,2993
100200,1002,Alabama A & M University,15547,19.8,8,1,378,1902
1216500,12165,Atlanta Metropolitan State College,5026,17.1,6,1,168,982
395400,3954,University of Central Florida,15533,4.5,8,1,571,12478
345600,3456,Winthrop University,16702,3.8,8,1,62,1593
169400,1694,Chicago State University,11293,12,8,1,265,2206
108600,1086,University of Arkansas at Pine Bluff,7840,14.1,8,1,136,959
232700,2327,University of Michigan-Flint,12257,5.6,8,1,139,2454
224300,2243,Central Michigan University,14275,5.1,8,1,340,6546
131200,1312,University of California-Berkeley,17160,2.4,8,1,113,4705
2146400,21464,Institute of American Indian and Alaska Native Culture and Arts Development,13067,25.5,8,1,12,47
363900,3639,Texas A & M University-Kingsville,11789,9.2,8,1,309,3357
332900,3329,Pennsylvania State University-World Campus,23129,5.1,8,1,983,19227
255900,2559,Peru State College,12557,9,8,1,52,576
108300,1083,University of Arizona,16466,5.8,8,1,414,7084
372800,3728,Old Dominion University,15218,5.5,8,1,311,5627
283500,2835,SUNY at Albany,15114,4,8,1,159,3947
337903,3379,University of Pittsburgh-Bradford,17018,3.5,8,1,261,7252
138000,1380,Western Connecticut State University,17422,5.8,8,1,80,1369
226000,2260,Ferris State University,13204,7.3,8,1,307,4198
316800,3168,Rogers State University,12338,12.1,8,1,138,1139
250300,2503,Missouri State University-Springfield,14862,5.9,8,1,277,4637
356500,3565,Texas A & M University-Commerce,9032,9.5,8,1,291,3054
222200,2222,University of Massachusetts-Boston,11966,5.1,8,1,192,3755
679100,6791,SUNY at Purchase College,18123,6.4,8,1,66,1023
332000,3320,East Stroudsburg University of Pennsylvania,16377,7.6,8,1,151,1976
210600,2106,University of Maryland Eastern Shore,14454,13,8,1,159,1214
178600,1786,Ball State University,13369,4.7,8,1,242,5080
194900,1949,Washburn University,11604,11.1,8,1,236,2111
309004,3090,Ohio State University-Newark Campus,14906,5,8,1,585,11670
162000,1620,Idaho State University,13301,7.3,8,1,254,3444
253200,2532,Montana State University,14953,5.4,8,1,178,3285
369600,3696,University of Vermont,17816,1.8,8,1,46,2468
320900,3209,Western Oregon University,16486,7,8,1,116,1652
307800,3078,Wright State University-Main Campus,14464,8.1,8,1,378,4661
1116100,11161,Texas A & M University-Corpus Christi,12025,8.3,8,1,247,2948
108103,1081,Arizona State University-Downtown Phoenix,12876,6.5,8,1,1210,18571
396900,3969,University of Minnesota-Twin Cities,16242,2,8,1,188,8976
229200,2292,Michigan Technological University,16276,3.3,8,1,44,1314
341400,3414,University of Rhode Island,18391,5.2,8,1,175,3303
192800,1928,Kansas State University,16431,4.9,8,1,229,4612
159000,1590,Savannah State University,10298,18.5,8,1,344,1852
391900,3919,University of Wisconsin-La Crosse,13265,1.6,8,1,36,2160
332915,3329,Pennsylvania State University-Penn State Worthington Scranton,12961,5.1,8,1,983,19227
135800,1358,Colorado Mesa University,13529,10.7,8,1,282,2623
249600,2496,Northwest Missouri State University,11262,7.8,8,1,132,1673
933300,9333,University of Illinois at Springfield,11444,4,8,1,48,1174
374900,3749,George Mason University,18032,2.3,8,1,133,5772
332921,3329,Pennsylvania State University-Penn State Brandywine,13410,5.1,8,1,983,19227
395500,3955,The University of West Florida,11175,6.5,8,1,184,2793
284800,2848,SUNY College at Oswego,16381,4.2,8,1,99,2351
200600,2006,Grambling State University,17239,16.1,8,1,292,1813
377500,3775,Eastern Washington University,12397,4.7,8,1,156,3319
249500,2495,Truman State University,12478,3,8,1,31,1017
158100,1581,Middle Georgia State University,9538,12.8,8,1,415,3240
262100,2621,New Jersey Institute of Technology,15406,3.7,8,1,64,1716
332914,3329,Pennsylvania State University-Penn State Schuylkill,15772,5.1,8,1,983,19227
246600,2466,Harris-Stowe State University,9371,21.5,6,1,133,616
332900,3329,Pennsylvania State University-World Campus,23129,5.1,8,1,983,19227
381500,3815,Marshall University,9037,10.5,8,1,333,3155
157300,1573,Georgia Southwestern State University,12453,5.6,8,1,56,988
230100,2301,Northern Michigan University,12667,8.3,8,1,207,2471
250100,2501,Southeast Missouri State University,11776,10.3,8,1,268,2582
364600,3646,Texas Woman's University,8881,6.6,8,1,258,3878
332100,3321,Edinboro University of Pennsylvania,14323,8.7,8,1,214,2451
284100,2841,SUNY College at Brockport,14267,4.2,8,1,110,2582
297600,2976,University of North Carolina at Greensboro,10403,6,8,1,256,4254
378100,3781,Highline College,7746,17.5,6,1,85,485
143100,1431,University of Delaware,15894,2.8,8,1,92,3224
299300,2993,Mayville State University,12104,11.4,8,1,34,297
310003,3100,Ohio University-Lancaster Campus,9445,9.7,8,1,946,9731
101600,1016,University of North Alabama,10427,9.6,8,1,149,1547
200200,2002,Western Kentucky University,11409,9.5,8,1,494,5184
150400,1504,State College of Florida-Manatee-Sarasota,10395,13.2,6,1,267,2010
365600,3656,The University of Texas at Arlington,11952,6.1,8,1,598,9674
312300,3123,University of Akron Main Campus,16568,10.8,8,1,755,6980
332905,3329,Pennsylvania State University-Penn State Erie-Behrend College,22227,5.1,8,1,983,19227
177500,1775,University of Illinois at Urbana-Champaign,16683,2.2,8,1,139,6262
284700,2847,SUNY Oneonta,15498,2.1,8,1,32,1499
200800,2008,Louisiana Tech University,9497,6.5,8,1,96,1457
406900,4069,University of Minnesota-Crookston,13396,4.2,6,1,25,589
285600,2856,SUNY College of Agriculture and Technology at Cobleskill,14815,10.5,6,1,102,967
191500,1915,Fort Hays State University,11993,6.3,8,1,174,2755
105700,1057,University of South Alabama,12963,8.4,8,1,333,3955
106500,1065,University of Alaska Southeast,8719,12.5,8,1,50,400
162600,1626,University of Idaho,14787,5.7,8,1,144,2526
299700,2997,North Dakota State University-Main Campus,14581,3.1,8,1,102,3281
339500,3395,Pennsylvania College of Technology,22011,9.9,8,1,191,1920
366500,3665,West Texas A & M University,12022,7.5,8,1,168,2235
152000,1520,Seminole State College of Florida,8494,14.7,6,1,656,4460
261700,2617,Montclair State University,15131,4.7,8,1,201,4207
284900,2849,SUNY College at Plattsburgh,14287,4.3,8,1,68,1577
255400,2554,University of Nebraska at Omaha,11223,6.1,8,1,205,3324
242300,2423,Mississippi State University,15628,7.4,8,1,312,4192
310005,3100,Ohio University-Chillicothe Campus,9928,9.7,8,1,946,9731
160100,1601,University of West Georgia,14285,8.6,8,1,289,3350
286600,2866,Fashion Institute of Technology,10430,3.7,8,1,57,1535
450600,4506,Colorado Mountain College,9408,12.5,6,1,107,850
722800,7228,University of Puerto Rico-Arecibo,5481,9.6,6,1,19,197
